test_id,smiles,nlogP
0,CC1CC1,-0.5690597891807556
0,C1CC1,-0.6037714992250715
0,CC,-0.6192521023750305
0,CCC,-0.7708576548099518
0,CCCC,-1.1386495586988088
0,ClCCCCl,-1.1831570863723755
0,ClCCCl,-1.1941383753133856
0,CCCN,-1.2240921258926392
0,FCCF,-1.2447010917322976
0,CCCF,-1.2680207326494415
0,CCCCl,-1.2738931820942805
0,FCCCl,-1.2865811884403229
0,CCCl,-1.2931834148863952
0,CCNC,-1.3060112595558167
0,C#CC,-1.323682433519608
0,CCF,-1.3427906825735763
0,C=CC,-1.422849416732788
0,CNC,-1.501960277557373
0,CCN,-1.5808823903401692
0,C#C,-1.5934515375840037
0,CCl,-1.5974875935968362
0,C=C,-1.6041959524154663
0,CCO,-1.6336313145501273
0,ClCCl,-1.6394708156585693
0,FCF,-1.6431084871292114
0,C,-1.7089598298072814
0,CF,-1.7368653054330863
0,CBr,-2.1510304703431973
0,Cl,-3.25191060702006
0,Br,-3.3432822227478027
0,F,-3.4699624234979805
