test_id,smiles,nlogP
0,O=C1NS(=O)(=O)c2cccc[c]21->[Tc+4],-4.302789211273193
0,O=C1NS(=O)(=O)c2cccc[c]21->[Pd+],-4.351545810699463
0,O=C1NS(=O)(=O)c2cccc[c]21->[Sn+],-4.367278575897217
0,O=C1NS(=O)(=O)c2ccccc21,-4.397253723144531
0,O=C1NS(=O)(=O)c2cccc[c]21->[In+],-4.450425148010254
0,O=C1NS(=O)(=O)c2cccc[c]21->[Ru+3],-4.45822748541832
0,O=C1NS(=O)(=O)c2cccc[c]21->[Ru-],-4.4651148319244385
0,O=C1NS(=O)(=O)c2cccc[c]21->[W+],-4.485046863555908
0,O=C1NS(=O)(=O)c2cccc[c]21->[AlH2+],-4.495436524235925
0,[Li-]<-[c]12ccccc1S(=O)(=O)NC2=O,-4.4964136481285095
0,O=C1NS(=O)(=O)c2cccc[c]21->[SbH2],-4.497652530670166
0,O=C1NS(=O)(=O)c2cccc[c]21->[Hg+],-4.500369843016279
0,O=C1NS(=O)(=O)c2cccc[c]21->[Pt+],-4.500463704268138
0,O=C1NS(=O)(=O)c2cccc[c]21->[AlH+],-4.511200881585842
0,O=C1NS(=O)(=O)c2cccc[c]21->[Ga+3],-4.5158350467681885
0,O=C1NS(=O)(=O)c2cccc[c]21->[Fe+3],-4.517295201619466
0,O=C1NS(=O)(=O)c2cccc[c]21->[203Hg+],-4.525405493649569
0,O=C1NS(=O)(=O)c2cccc[c]21->[Yb],-4.528755619412377
0,O=C1NS(=O)(=O)c2cccc[c]21->[99Tc+3],-4.585219860076904
0,O=C1NS(=O)(=O)c2cccc[c]21->[SnH3],-4.601593017578125
0,O=C1NS(=O)(=O)c2cccc[c]21->[AlH3-],-4.619879722595215
0,O=C1NS(=O)(=O)c2cccc[c]21->[67Cu+2],-4.645243406295776
