test_id,smiles,nlogP
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][203Hg+],-3.8179962635040283
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O[IH+],-3.916937828063965
0,CCOC(=O)CC(N)C(=O)NC(Cc1ccccc1)C(=O)OC,-3.917123546600342
0,COC(=O)CC(N)C(=O)NC(Cc1ccccc1)C(=O)OC,-3.937425980567932
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,-3.952227340804206
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)OCCl,-3.954368829727173
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][Sm],-3.963047742843628
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][Sb+3],-3.971720576286316
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)OCl,-3.9983349418640137
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)OF,-4.00758120059967
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][AlH2+],-4.0125152841210365
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)OCF,-4.012794852256775
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O[NH2+],-4.013559846878052
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O[NH3+],-4.019446935653686
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][W+],-4.020660424719051
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][Nd+3],-4.022434711456299
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][Hg+],-4.026962719857693
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][AlH+],-4.033384646138837
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][V+2],-4.039595699310302
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][Fe+3],-4.04156494140625
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][Ac],-4.048265722062853
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][Ga+3],-4.051327265225924
0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)[O][Yb],-4.067078351974487
