test_id,smiles,nlogP
0,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C=CC1,-0.2001278946797053
0,CC1(C)S[C@@H]([C@H](N=C(O)Cc2ccccc2)C(=O)O)N[C@H]1C(=O)O,-0.20142291113734245
0,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=O)O)C(=O)O)cccc12,-0.20152424275875092
0,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1nc(O)nc(O)c1N2,-0.20420914888381958
0,CC1(C)S[C@@H]2[C@H](N=C(O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,-0.20522591720024744
0,CC1(C)S[C@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N[C@H]1C(=O)O,-0.21266086399555206
0,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1cnccn1)B(O)O,-0.21618740260601044
0,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(=N)[nH]1,-0.2169122671087583
0,COc1ccc2c(c1)cc(C(O)=N[C@H](C)c1ccccc1)n2CC(=O)O,-0.21706685423851013
0,CC1(C)S[C@@H]([C@H](N=C(O)Cc2cccs2)C(=O)O)N[C@H]1C(=O)O,-0.2175123542547226
0,CC1(C)S[C@@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N[C@H]1C(=O)O,-0.21893438696861267
0,CC1(C)S[C@H]([C@@H](C=O)N=C(O)c2ccccc2)N[C@H]1C(=O)O,-0.21933791041374207
0,N[C@@H](CCC(O)=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O,-0.226410640279452
0,COc1ccc2c(c1)cc(C(O)=N[C@@H](C)c1ccccc1)n2CC(=O)O,-0.22833316028118134
0,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)O)cc1,-0.2285618007183075
0,N[C@@H](Cn1ccc(=O)n(Cc2ccc(Cl)cc2)c1=O)C(=O)O,-0.23518922924995422
0,N=c1ccn([C@H]2CC[C@@H](COP(=O)(O)O)O2)c(O)n1,-0.23566506090371506
0,N=c1nc(O)c2nc(CNc3ccc(C(=O)O)cc3)cnc2[nH]1,-0.2357715219259262
0,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@H](C)C(O)=NO)cc1,-0.23586925864219666
0,CC(C)C[C@H](N=C(O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,-0.23763789236545563
