SMILES,Sweetness_Label
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,1
CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,1
CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,1
OC1C(O)C(O)C(O)C(O)C1O,1
CON=C(C)C1CC=C(C=NO)CC1,1
NC(CC(O)(Cc1c[nH]c2ccccc12)C(=O)O)C(=O)[O-],1
COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O,1
O=S(=O)([O-])Nc1ccc(Br)cc1,1
COc1ccc(C(=O)C=CC(=O)O)cc1,1
CC1=CCC(C=NO)=CC1,1
COC(C)C1=CC=C(C=NO)CC1,1
COC(C)C1=CCC(C=NO)=CC1,1
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,1
CCC(O)CO,1
CC(O)CO,1
COc1ccc(C2OCc3c(O)cccc3O2)cc1O,1
COc1ccc(C2OCc3ccccc3O2)cc1O,1
CC1=CC=C(C)CC1,1
O=S(=O)([O-])NC1CSCSC1,1
OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,1
OCC(O)C1OCC(O)C1O,1
OCC1OCC(O)C1O,1
COc1ccc(C2COc3ccccc3O2)cc1O,1
OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,1
OCC1OCC(O)C(O)C1O,1
CC1C(NS(=O)(=O)[O-])C(=O)N(c2ccccc2)N1C,1
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,1
OC1C(CCl)OC(O)(CCl)C1O,1
COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1
CSCC1OC(O)(CSC)C(O)C1O,1
CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21,1
CC(=O)C1CC=C(C=NO)CC1,1
NC1(C(=O)O)CCC1,1
OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,1
ON=CC1=CCCCC1,1
ON=CC1=CCCC1,1
CC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,1
O=C(O)CNC(=Nc1ccc2cn[nH]c2c1)NC1CCCCCCC1,1
CC(NC(=Nc1cnc2cn[nH]c2c1)NCC(=O)O)c1ccccc1,1
CC1=CC=CCC1,1
